State,Stay at Home Order,Buisnesses Open,Gatherings of More Than 10 People,"Confirmed Case from 100,000","Tests from 100,000",Stay At Home Value,Buisnesses Open Value,Gatherings of More Than 10 People Value,"Confirmed Case from 100,000 Values","Tests from 100,000 Values"
Alabama,1,1,1,0.175588865,0.69,No Order,All Buisnesses,Gatherings of 10 people are allowed,328,4049
Alaska,1,1,1,0.029978587,0.315,No Order,All Buisnesses,Gatherings of 10 people are allowed,56,6287
Arizona,1,0.75,1,0.129014989,0.89,No Order,All Buisnesses with restrictions,Gatherings of 10 people are allowed,241,2737
Arkansas,1,0.75,1,0.111349036,0.695,No Order,All Buisnesses with restrictions,Gatherings of 10 people are allowed,208,3937
California,0,0.25,0,0.133832976,0.6,There is An Order,Some Buisnesses with restrictions,Gatherings of 10 people are not allowed,250,4391
Colorado,1,0.25,1,0.232869379,0.86,No Order,Some Buisnesses with restrictions,Gatherings of 10 people are allowed,435,2832
Connecticut,1,0.25,0,0.618843683,0.277,No Order,Some Buisnesses with restrictions,Gatherings of 10 people are not allowed,1156,6592
Delaware,0,0.25,0,0.503211991,0.37,There is An Order,Some Buisnesses with restrictions,Gatherings of 10 people are not allowed,940,5730
Florida,1,0.25,0,0.132226981,0.6,No Order,Some Buisnesses with restrictions,Gatherings of 10 people are not allowed,247,4391
Georgia,0,0.75,1,0.226980728,0.67,Only For Those At Risk,All Buisnesses with restrictions,Gatherings of 10 people are allowed,424,4190
Hawaii,0,0.5,0,0.024089936,0.725,There is An Order,Most Buisnesses with restrictions,Gatherings of 10 people are not allowed,45,3649
Idaho,1,0.5,1,0.082441113,1,No Order,Most Buisnesses with restrictions,Gatherings of 10 people are allowed,154,2438
Illinois,1,0.5,0,0.48019272,0.305,No Order,Most Buisnesses with restrictions,Gatherings of 10 people are not allowed,897,6310
Indiana,1,0.75,1,0.259635974,0.742,No Order,All Buisnesses with restrictions,Gatherings of 10 people are allowed,485,3517
Iowa,1,0.75,1,0.309421842,0.655,No Order,All Buisnesses with restrictions,Gatherings of 10 people are allowed,578,4409
Kansas,1,0.25,0,0.171841542,0.85,No Order,Some Buisnesses with restrictions,Gatherings of 10 people are not allowed,321,2902
Kentucky,1,0.25,0,0.108672377,0.685,No Order,Some Buisnesses with restrictions,Gatherings of 10 people are not allowed,203,4072
Louisiana,1,0.5,0,0.442184154,0.185,No Order,Most Buisnesses with restrictions,Gatherings of 10 people are not allowed,826,7460
Maine,0,0.5,0,0.085653105,0.75,There is An Order,Most Buisnesses with restrictions,Gatherings of 10 people are not allowed,160,3446
